"Finished","Q2","Q3","Q3_7_TEXT","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q6_1","Q6_2","Q6_3","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q7_9","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q18","Q20","Q21","Q22","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q27","Q28","Q28_12_TEXT","Q29","Q29_20_TEXT","Q30_1","Q30_2","Q30_4","Q30_6","Q30_6_TEXT","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q31_10","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","SC0"
"TRUE","48","Small Animal","","Somewhat confident","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Slightly confident","Very confident","TRUE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Don't Know","Inhibition of folic acid synthesis","Don't Know","Don't Know","Inhibition of protein synthesis","Don't Know","Bactericidal","Bactericidal","Don't Know","Don't Know","Don't Know","Bactericidal","Bacteriostatic","Don't Know","Marbofloxacin","Cephalexin","Don't Know","Clindamycin, Cefpodoxime, Ciprofloxacin","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Very confident","Somewhat confident","Somewhat confident","Somewhat confident","Very confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Very confident","Slightly confident","Not at all confident","Not at all confident","Somewhat confident","Somewhat confident","Not at all confident","Slightly confident","Slightly confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials",NA,"None of these",NA,"20","10","70","0",NA,"FALSE","TRUE","Don't Know","Don't Know","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Tylosin mixed in feed and fed to beef cattle","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","3-day course of amoxicillin","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","Feeding medicated milk replacer (neomycin and oxytetracycline) for 14 days, 5-day withdrawal period","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","38"
"TRUE","23","Other","","Very confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Very confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of folic acid synthesis","Inhibition of folic acid synthesis","Inhibition of protein synthesis","Don't Know","Inhibition of folic acid synthesis","Inhibition of protein synthesis","Bacteriostatic","Bactericidal","Bactericidal","Don't Know","Don't Know","Don't Know","Bactericidal","Bacteriostatic","Amikacin","Marbofloxacin","Cephalexin","Don't Know","Clindamycin, Cefpodoxime, Ciprofloxacin","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Somewhat confident","Slightly confident","Slightly confident","Not at all confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Slightly confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"None of these",NA,"30","35","35","0",NA,"Don't Know","Don't Know","Don't Know","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","Don't Know","Tylosin mixed in feed and fed to beef cattle","7-day course of doxycycline","10-day course of doxycycline","2-week course of cefpodoxime","3-day course of amoxicillin","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","Antimicrobials are not required at this time","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","39"
"TRUE","9","Small Animal","","Very confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Not at all confident","Somewhat confident","TRUE","TRUE","TRUE","Inhibition of folic acid synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of nucleic acid synthesis","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Bactericidal","Bactericidal","Bactericidal","Bactericidal","Bactericidal","Bactericidal","Bacteriostatic","Bactericidal","Chloramphenicol","Erythromycin","Cephalexin","Trimethoprim-Sulfamethoxazole","Marbofloxacin, Ampicillin, Metronidazole","SQ tilmicosin in beef calves with bovine respiratory disease that cannot be safely restrained","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Slightly confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","Somewhat confident","Not at all confident","Not at all confident","Not at all confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Slightly confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"25","25","50","0",NA,"FALSE","TRUE","Don't Know","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","Tylosin mixed in feed and fed to beef cattle","10-day course of amoxicillin-clavulanic acid","10-day course of doxycycline","Topical chlorhexidine three times a week for two weeks","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","Regional limb perfusion with amikacin","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","36"
"TRUE","37","Other","","Slightly confident","Not at all confident","Not at all confident","Slightly confident","Not at all confident","Slightly confident","Not at all confident","TRUE","TRUE","FALSE","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of folic acid synthesis","Inhibition of folic acid synthesis","Don't Know","Don't Know","Inhibition of folic acid synthesis","Don't Know","Inhibition of cell wall synthesis","Bactericidal","Bacteriostatic","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Amikacin","Marbofloxacin","Cephalexin","Enrofloxacin","Don't Know","IV procaine penicillin G in a horse with streptococcal pneumonia","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","Don't Know","TRUE","Don't Know","Don't Know","Don't Know","Don't Know","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not Sure",NA,NA,NA,NA,"5","5","80","10","I just assume others exist","FALSE","Don't Know","Don't Know","FALSE","Don't Know","TRUE","FALSE","FALSE","Don't Know","Don't Know","Soluble lincomycin mixed with sugar and fed to honeybees","Antimicrobials are not required at this time","10-day course of amoxicillin-clavulanic acid","Topical chlorhexidine three times a week for two weeks","Antimicrobials are not required at this time","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Don't Know","Don't Know","Don't Know","Don't Know","Yes","23"
"TRUE","49","Small Animal","","Very confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Very confident","TRUE","TRUE","FALSE","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of folic acid synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Chloramphenicol","Erythromycin","Cephalexin","Trimethoprim-Sulfamethoxazole","Marbofloxacin, Ampicillin, Metronidazole","Don't Know","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Slightly confident","Slightly confident","Slightly confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis,ISCAID Antimicrobial use guidelines for treatment of respiratory tract disease in dogs and cats",NA,"ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis,ISCAID Antimicrobial use guidelines for treatment of respiratory tract disease in dogs and cats",NA,"70","20","10","0",NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Don't Know","TRUE","TRUE","TRUE","Tylosin mixed in feed and fed to beef cattle","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","Systemic antimicrobials are not required at this time","Culture cows with recurrent mastitis and base treatment on culture results. Treat all other mastitis cows with a complete course of IMM antibiotics, rotating between ceftiofur, cephapirin, cloxacillin, and pirlimycin.","3-day course of IM penicillin, 6 day withhold","Yes","33"
"TRUE","30","Small Animal","","Very confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of nucleic acid synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Inhibition of cell wall synthesis","Inhibition of cell wall synthesis","Bactericidal","Bacteriostatic","Bactericidal","Bactericidal","Don't Know","Don't Know","Don't Know","Bactericidal","Amikacin","Marbofloxacin","Cephalexin","Clindamycin","Marbofloxacin, Ampicillin, Metronidazole","SQ tilmicosin in beef calves with bovine respiratory disease that cannot be safely restrained","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Very confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"15","10","75","0",NA,"TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","Tylosin mixed in feed and fed to beef cattle","Antimicrobials are not required at this time","Antimicrobials are not required at this time","Topical chlorhexidine three times a week for two weeks","3-day course of amoxicillin","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","7-day course of oral trimethoprim-sulfamethoxazole","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","38"
"TRUE","16","Small Animal","","Somewhat confident","Slightly confident","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Slightly confident","TRUE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Bactericidal","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Not at all confident","Slightly confident","Don't Know","Don't Know","Don't Know","Don't Know","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Don't Know","TRUE","FALSE","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Slightly confident","Slightly confident","Yes","ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis,ISCAID Antimicrobial use guidelines for treatment of respiratory tract disease in dogs and cats",NA,"ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis,ISCAID Antimicrobial use guidelines for treatment of respiratory tract disease in dogs and cats",NA,"33","34","33","0",NA,"Don't Know","TRUE","Don't Know","FALSE","FALSE","TRUE","FALSE","Don't Know","Don't Know","Don't Know","Don't Know","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","3-day course of amoxicillin","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Don't Know","Systemic antimicrobials are not required at this time","Give all mastitis cows one dose of IMM ceftiofur after taking a milk sample for culture, then modify treatment based on culture results. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","24"
"TRUE","50","Small Animal","","Somewhat confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Don't Know","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Bactericidal","Don't Know","Bactericidal","Don't Know","Don't Know","Bactericidal","Don't Know","Don't Know","Cefovecin","Marbofloxacin","Cephalexin","Clindamycin","Marbofloxacin, Ampicillin, Metronidazole","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","Somewhat confident","Slightly confident","Not at all confident","Slightly confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis,ISCAID Antimicrobial use guidelines for treatment of respiratory tract disease in dogs and cats",NA,"ISCAID Guidelines for the diagnosis and management of bacterial urinary tract infections in dogs and cats,ISCAID Guidelines for the diagnosis and antimicrobial therapy of canine superficial bacterial folliculitis,ISCAID Antimicrobial use guidelines for treatment of respiratory tract disease in dogs and cats",NA,"25","50","25","0",NA,"Don't Know","Don't Know","Don't Know","TRUE","Don't Know","TRUE","FALSE","TRUE","TRUE","Don't Know","Monensin mixed in feed and fed to dairy cattle","7-day course of doxycycline","10-day course of doxycycline","3-week course of cephalexin","3-day course of amoxicillin","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","Systemic antimicrobials are not required at this time","Don't Know","3-day course of IM penicillin, 6 day withhold","Yes","34"
"TRUE","18","Small Animal","","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","Not at all confident","TRUE","TRUE","FALSE","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","Don't Know","Very confident","Slightly confident","Slightly confident","Slightly confident","Not at all confident","Not at all confident","Somewhat confident","Not at all confident","Somewhat confident","Somewhat confident","Yes","Not sure",NA,NA,NA,"20","20","60","0",NA,"Don't Know","Don't Know","Don't Know","TRUE","TRUE","TRUE","TRUE","TRUE","Don't Know","Don't Know","Don't Know","7-day course of doxycycline","10-day course of doxycycline","Don't Know","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","Don't Know","Don't Know","Don't Know","Don't Know","Yes","12"
"TRUE","1","Small Animal","","Very confident","Slightly confident","Somewhat confident","Slightly confident","Not at all confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of folic acid synthesis","Don't Know","Inhibition of nucleic acid synthesis","Inhibition of nucleic acid synthesis","Inhibition of protein synthesis","Inhibition of protein synthesis","Bactericidal","Bacteriostatic","Bactericidal","Don't Know","Bactericidal","Bactericidal","Bacteriostatic","Bactericidal","Amikacin","Erythromycin","Cephalexin","Enrofloxacin","Metronidazole, Gentamicin, Florfenicol","SQ tilmicosin in beef calves with bovine respiratory disease that cannot be safely restrained","Oral doxycycline in a pregnant queen to treat an upper respiratory tract infection","Somewhat confident","Very confident","Very confident","Somewhat confident","Slightly confident","Very confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Somewhat confident","Slightly confident","Not at all confident","Not at all confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Yes","Not sure",NA,NA,NA,"30","20","50","0",NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","Monensin mixed in feed and fed to dairy cattle","7-day course of doxycycline","10-day course of amoxicillin-clavulanic acid","2-week course of cefpodoxime","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","38"
